Index,Cement (kg/m3),SF (kg/m3),BFS (kg/m3),FA (kg/m3),QP (kg/m3),LSP (kg/m3),NS (kg/m3),Fiber (kg/m3),Sand (kg/m3),Gravel (kg/m3),Water (kg/m3),SP (kg/m3),T (oC),RH (%),Age (days),Unnamed: 16,fc (MPa)
74,612.4,43.7,0.0,0.0,0.0,262.5,0.0,0.0,1273.4,0,202.1,45.9,21,100,7,,78.52
75,699.9,43.7,0.0,0.0,175.0,0.0,0.0,0.0,1273.4,0,202.1,45.9,21,100,7,,85.91
76,874.9,43.7,0.0,0.0,0.0,0.0,0.0,39.0,1273.4,0,202.1,45.9,21,100,7,,106.71
77,612.4,43.7,0.0,0.0,0.0,262.5,0.0,39.0,1273.4,0,202.1,45.9,21,100,7,,89.93
78,699.9,43.7,0.0,0.0,175.0,0.0,0.0,39.0,1273.4,0,202.1,45.9,21,100,7,,99.33
79,874.9,43.7,0.0,0.0,0.0,0.0,0.0,78.0,1273.4,0,202.1,45.9,21,100,7,,108.73
80,612.4,43.7,0.0,0.0,0.0,262.5,0.0,78.0,1273.4,0,202.1,45.9,21,100,7,,92.62
81,699.9,43.7,0.0,0.0,175.0,0.0,0.0,78.0,1273.4,0,202.1,45.9,21,100,7,,102.01
82,874.9,43.7,0.0,0.0,0.0,0.0,0.0,117.0,1273.4,0,202.1,45.9,21,100,7,,110.74
83,612.4,43.7,0.0,0.0,0.0,262.5,0.0,117.0,1273.4,0,202.1,45.9,21,100,7,,100.0
84,699.9,43.7,0.0,0.0,175.0,0.0,0.0,117.0,1273.4,0,202.1,45.9,21,100,7,,108.73
85,874.9,43.7,0.0,0.0,0.0,0.0,0.0,156.0,1273.4,0,202.1,45.9,21,100,7,,120.81
86,612.4,43.7,0.0,0.0,0.0,262.5,0.0,156.0,1273.4,0,202.1,45.9,21,100,7,,105.37
87,699.9,43.7,0.0,0.0,175.0,0.0,0.0,156.0,1273.4,0,202.1,45.9,21,100,7,,114.77
88,612.4,43.7,0.0,0.0,0.0,262.5,0.0,195.0,1273.4,0,202.1,45.9,21,100,7,,114.09
89,699.9,43.7,0.0,0.0,175.0,0.0,0.0,195.0,1273.4,0,202.1,45.9,21,100,7,,122.82
90,874.9,43.7,0.0,0.0,0.0,0.0,0.0,0.0,1273.4,0,202.1,45.9,21,100,28,,100.67
91,612.4,43.7,0.0,0.0,0.0,262.5,0.0,0.0,1273.4,0,202.1,45.9,21,100,28,,88.59
92,874.9,43.7,0.0,0.0,0.0,0.0,0.0,39.0,1273.4,0,202.1,45.9,21,100,28,,115.44
93,612.4,43.7,0.0,0.0,0.0,262.5,0.0,39.0,1273.4,0,202.1,45.9,21,100,28,,100.67
94,699.9,43.7,0.0,0.0,175.0,0.0,0.0,39.0,1273.4,0,202.1,45.9,21,100,28,,106.71
95,874.9,43.7,0.0,0.0,0.0,0.0,0.0,78.0,1273.4,0,202.1,45.9,21,100,28,,124.83
96,612.4,43.7,0.0,0.0,0.0,262.5,0.0,78.0,1273.4,0,202.1,45.9,21,100,28,,114.09
97,699.9,43.7,0.0,0.0,175.0,0.0,0.0,78.0,1273.4,0,202.1,45.9,21,100,28,,120.81
98,874.9,43.7,0.0,0.0,0.0,0.0,0.0,117.0,1273.4,0,202.1,45.9,21,100,28,,132.22
99,612.4,43.7,0.0,0.0,0.0,262.5,0.0,117.0,1273.4,0,202.1,45.9,21,100,28,,126.17
100,699.9,43.7,0.0,0.0,175.0,0.0,0.0,117.0,1273.4,0,202.1,45.9,21,100,28,,130.2
101,874.9,43.7,0.0,0.0,0.0,0.0,0.0,156.0,1273.4,0,202.1,45.9,21,100,28,,146.31
102,612.4,43.7,0.0,0.0,0.0,262.5,0.0,156.0,1273.4,0,202.1,45.9,21,100,28,,134.23
103,699.9,43.7,0.0,0.0,175.0,0.0,0.0,156.0,1273.4,0,202.1,45.9,21,100,28,,139.6
104,874.9,43.7,0.0,0.0,0.0,0.0,0.0,195.0,1273.4,0,202.1,45.9,21,100,28,,155.71
105,612.4,43.7,0.0,0.0,0.0,262.5,0.0,195.0,1273.4,0,202.1,45.9,21,100,28,,141.61
106,435.1,0.0,0.0,0.0,175.9,263.7,4.4,0.0,1273.4,0,175.8,43.9,21,100,28,,77.01
107,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,28,,136.34
108,594.2,0.0,0.0,0.0,0.0,265.3,24.8,0.0,1282.3,0,176.9,44.2,21,100,7,,86.11
109,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,7,,113.89
110,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,7,,117.22
111,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,7,,114.44
112,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,7,,112.22
113,594.2,0.0,0.0,0.0,0.0,265.3,24.8,156.0,1282.3,0,176.9,44.2,21,100,7,,111.11
114,753.0,188.0,0.0,183.0,0.0,0.0,0.0,0.0,1129.0,0,180.72,27.0,20,100,28,,166.0
115,745.0,186.0,0.0,181.0,0.0,0.0,0.0,0.0,1118.0,0,171.35,27.0,20,100,28,,162.0
116,778.0,194.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,1167,178.94,28.0,20,100,28,,181.0
117,758.0,190.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,1138,166.76,27.0,20,100,28,,155.0
118,745.0,186.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,1118,171.35,27.0,20,100,28,,159.0
119,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,59.0
120,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,70.7
121,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,73.2
122,801.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,75.7
123,756.5,133.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,70.5
124,712.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,62.1
125,845.5,44.5,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,77.8
126,712.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,53.7
127,667.5,44.5,0.0,178.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,1,,52.8
128,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,1,,72.8
129,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,1,,73.2
130,958.55,50.45,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,1,,80.1
131,756.75,50.45,0.0,201.8,0.0,0.0,0.0,0.0,1231.0,0,201.8,34.2,21,100,1,,53.1
132,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,95.7
133,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231.0,0,178.0,30.2,21,100,7,,97.4
134,430.7,0.0,0.0,0.0,175.9,263.7,8.8,0.0,1273.4,0,175.8,43.9,21,100,28,,81.1
